CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,adh,CATAGEAD,CATadh,is_adh
2,0,0,A,1980-10-13,0,21,35,22,31_40,21_30,demissionnaire
2,2410,0,A,2003-11-06,0,21,30,4,21_30,0_10,adherent
2,0,0,A,1980-05-23,0,21,29,19,21_30,11_20,demissionnaire
2,0,0,C,2002-02-27,2,10,25,5,21_30,0_10,adherent
3,0,0,V,1977-12-05,2,10,51,30,51_60,21_30,adherent
3,1168,enfants,M,1997-06-18,2,10,30,10,21_30,0_10,adherent
2,0,0,A,1988-11-04,0,10,34,19,31_40,11_20,adherent
3,0,enfants,M,1999-07-26,0,21,41,1,41_50,0_10,demissionnaire
3,0,0,A,2002-05-21,0,25,62,5,61_70,0_10,adherent
3,0,0,A,1994-06-27,0,21,26,8,21_30,0_10,demissionnaire
3,0,0,A,1980-10-21,0,10,59,25,51_60,21_30,demissionnaire
3,0,0,U,2006-09-04,0,21,49,0,41_50,0_10,demissionnaire
4,2437,0,C,1977-06-13,0,21,40,29,31_40,21_30,demissionnaire
3,2162,enfants,M,2001-02-21,0,21,44,5,41_50,0_10,demissionnaire
2,0,0,A,1983-08-29,0,21,41,21,41_50,21_30,demissionnaire
3,0,0,A,1978-08-17,0,21,50,23,41_50,21_30,demissionnaire
2,0,0,A,1994-03-28,2,10,20,0,11_20,0_10,demissionnaire
3,0,0,M,1997-11-06,0,21,34,6,31_40,0_10,demissionnaire
4,0,0,C,1986-09-12,2,21,3,21,0_10,21_30,adherent
2,0,0,A,1983-04-22,0,21,46,19,41_50,11_20,demissionnaire
3,2911,enfants,B,1995-06-01,0,21,40,10,31_40,0_10,demissionnaire
2,4200,enfants,M,1999-06-02,2,10,35,8,31_40,0_10,adherent
2,0,0,A,1983-07-20,0,10,27,24,21_30,21_30,adherent
4,0,0,C,2001-08-17,2,10,27,6,21_30,0_10,adherent
4,0,0,C,2006-10-06,0,21,39,0,31_40,0_10,demissionnaire
2,0,0,M,1996-01-02,0,21,29,5,21_30,0_10,demissionnaire
2,0,0,A,1988-06-21,0,21,37,19,31_40,11_20,adherent
2,1930,0,C,2004-05-28,2,10,38,3,31_40,0_10,adherent
3,0,0,A,1981-06-19,0,10,31,26,31_40,21_30,adherent
4,0,0,C,1994-10-11,0,21,22,8,21_30,0_10,demissionnaire
3,0,0,A,1976-11-08,0,21,24,26,21_30,21_30,demissionnaire
2,1237,enfants,U,2007-04-10,2,10,29,0,21_30,0_10,adherent
4,0,0,C,2000-10-11,2,10,33,7,31_40,0_10,adherent
3,0,0,C,1986-06-10,0,21,27,16,21_30,11_20,demissionnaire
2,0,0,A,1975-10-29,0,21,45,26,41_50,21_30,demissionnaire
2,1434,enfants,U,2001-11-15,2,10,27,6,21_30,0_10,adherent
3,0,0,A,1982-03-01,0,21,27,21,21_30,21_30,demissionnaire
2,0,0,A,1977-11-07,0,21,24,23,21_30,21_30,demissionnaire
3,0,0,A,1985-05-29,0,21,31,20,31_40,11_20,demissionnaire
3,1700,enfants,M,2005-11-03,0,21,49,0,41_50,0_10,demissionnaire
3,0,0,A,1985-03-15,0,21,72,17,71plus,11_20,demissionnaire
4,0,0,A,2004-09-22,0,21,20,1,11_20,0_10,demissionnaire
2,0,0,A,1988-01-28,0,21,27,16,21_30,11_20,demissionnaire
3,0,0,M,1979-10-01,0,21,40,26,31_40,21_30,demissionnaire
2,1307,0,A,2000-09-21,0,21,27,3,21_30,0_10,demissionnaire
4,0,0,A,2006-09-25,0,21,54,0,51_60,0_10,demissionnaire
3,0,0,A,2004-12-10,0,21,49,1,41_50,0_10,demissionnaire
2,0,0,A,1989-04-05,0,21,44,10,41_50,0_10,demissionnaire
3,0,0,A,1985-04-26,0,21,45,15,41_50,11_20,demissionnaire
2,0,0,C,1982-12-08,0,21,33,24,31_40,21_30,demissionnaire
4,1429,0,C,2000-12-26,0,21,26,1,21_30,0_10,demissionnaire
3,0,0,A,1992-10-19,0,21,39,13,31_40,11_20,demissionnaire
3,0,0,A,1987-12-28,0,21,59,19,51_60,11_20,demissionnaire
3,0,0,A,1985-03-22,0,21,32,17,31_40,11_20,demissionnaire
3,0,enfants,C,1998-07-23,2,10,23,9,21_30,0_10,adherent
3,0,0,A,1977-08-05,0,21,38,27,31_40,21_30,demissionnaire
4,0,0,C,2003-04-16,0,21,0,4,0_10,0_10,adherent
2,2877,enfants,B,1983-05-27,0,10,37,24,31_40,21_30,adherent
4,0,0,C,2003-03-18,0,25,38,4,31_40,0_10,adherent
4,0,0,A,2000-09-08,0,21,26,3,21_30,0_10,demissionnaire
4,2482,enfants,U,1999-02-23,2,10,23,8,21_30,0_10,adherent
3,0,0,A,1976-10-21,0,21,23,28,21_30,21_30,demissionnaire
3,0,0,V,2000-05-05,0,25,53,5,51_60,0_10,demissionnaire
4,0,0,C,1998-05-06,0,21,26,5,21_30,0_10,demissionnaire
2,2856,enfants,M,2002-09-24,0,25,48,5,41_50,0_10,adherent
4,0,0,C,1997-05-05,0,21,25,9,21_30,0_10,demissionnaire
2,0,enfants,M,1999-10-12,0,21,30,4,21_30,0_10,demissionnaire
2,0,0,M,1982-05-28,0,21,45,20,41_50,11_20,demissionnaire
4,0,0,C,1983-12-16,2,10,19,24,11_20,21_30,adherent
2,0,0,M,2004-01-16,2,10,62,3,61_70,0_10,adherent
3,0,0,A,1999-11-26,0,21,59,3,51_60,0_10,demissionnaire
3,0,0,A,1976-02-02,0,21,50,28,41_50,21_30,demissionnaire
2,0,enfants,M,1997-12-24,0,21,28,8,21_30,0_10,demissionnaire
2,0,enfants,M,1999-09-29,0,21,30,5,21_30,0_10,demissionnaire
3,0,enfants,M,1998-09-09,0,21,52,7,51_60,0_10,demissionnaire
