Id;CDSEXE;MTREV;NBENF;CDSITFAM;DTADH;CDTMT;CDDEM;DTDEM;ANNEE_DEM;CDMOTDEM;CDCATCL;AGEAD;rangagead;agedem;rangagedem;rangdem;adh;rangadh;LBL_rangagead;ID_rangagead;LBL_agedem;ID_agedem;LBL_rangadh;ID_rangadh
230;2;0;0;M;18/02/1977;0;2;24/11/2005;2005;DV;21;50;6  46-50;78;b  71-+;7  2005;28;6  25-29;46-50;6;71-+;b;25-29;6
231;3;0;0;A;03/03/1977;0;2;04/10/2000;2000;DV;21;47;6  46-50;70;a  66-70;2  2000;23;5  20-24;46-50;6;66-70;a;20-24;5
232;3;0;0;A;15/03/1977;0;2;19/10/2005;2005;DV;21;44;5  41-45;72;b  71-+;7  2005;28;6  25-29;41-45;5;71-+;b;25-29;6
233;3;0;0;M;22/03/1977;0;2;17/06/2005;2005;DV;21;46;6  46-50;74;b  71-+;7  2005;28;6  25-29;46-50;6;71-+;b;25-29;6
234;3;0;0;A;18/08/1977;0;2;05/04/2004;2004;DV;21;46;6  46-50;73;b  71-+;6  2004;27;6  25-29;46-50;6;71-+;b;25-29;6
235;2;0;0;M;28/10/1977;0;2;03/12/2004;2004;DV;21;38;4  36-40;65;9  61-65;6  2004;27;6  25-29;36-40;4;61-65;9;25-29;6
236;2;0;0;M;28/11/1977;0;2;07/02/2001;2001;DV;21;26;2  26-30;50;6  46-50;3  2001;24;5  20-24;26-30;2;46-50;6;20-24;5
237;3;0;0;A;05/12/1977;0;2;11/04/2005;2005;DV;21;49;6  46-50;77;b  71-+;7  2005;28;6  25-29;46-50;6;71-+;b;25-29;6
238;3;0;0;A;20/01/1978;0;2;12/10/2005;2005;DV;21;34;3  31-35;61;9  61-65;7  2005;27;6  25-29;31-35;3;61-65;9;25-29;6
239;2;0;0;M;27/01/1978;0;2;21/09/2005;2005;DV;21;51;7  51-55;78;b  71-+;7  2005;27;6  25-29;51-55;7;71-+;b;25-29;6
240;3;0;0;A;27/01/1978;0;2;21/09/2005;2005;DV;21;46;6  46-50;73;b  71-+;7  2005;27;6  25-29;46-50;6;71-+;b;25-29;6
241;3;0;0;A;03/02/1978;0;2;06/02/2001;2001;DV;21;44;5  41-45;67;a  66-70;3  2001;23;5  20-24;41-45;5;66-70;a;20-24;5
242;3;0;0;A;09/02/1978;0;2;22/09/1999;1999;DV;21;28;2  26-30;49;6  46-50;1  1999;21;5  20-24;26-30;2;46-50;6;20-24;5
243;2;0;0;A;09/02/1978;0;2;20/10/1999;1999;DV;21;30;2  26-30;51;7  51-55;1  1999;21;5  20-24;26-30;2;51-55;7;20-24;5
244;3;0;0;A;28/03/1978;0;2;17/03/1999;1999;DV;21;45;5  41-45;66;a  66-70;1  1999;21;5  20-24;41-45;5;66-70;a;20-24;5
245;2;0;0;A;05/04/1978;0;2;11/06/2002;2002;DV;21;37;4  36-40;61;9  61-65;4  2002;24;5  20-24;36-40;4;61-65;9;20-24;5
246;3;0;0;A;27/04/1978;0;2;08/08/2003;2003;DV;21;27;2  26-30;52;7  51-55;5  2003;25;6  25-29;26-30;2;51-55;7;25-29;6
247;2;0;0;A;29/05/1978;0;2;09/06/2006;2006;DV;21;36;4  36-40;64;9  61-65;8  2006;28;6  25-29;36-40;4;61-65;9;25-29;6
248;3;0;0;A;28/01/1979;0;2;20/08/2004;2004;DV;21;39;4  36-40;64;9  61-65;6  2004;25;6  25-29;36-40;4;61-65;9;25-29;6
249;4;0;0;C;14/05/1979;0;2;18/09/2002;2002;DV;21;43;5  41-45;66;a  66-70;4  2002;23;5  20-24;41-45;5;66-70;a;20-24;5
